Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2022-12-02,110.25,112.5,110.25,112.05,111.5,3506966.0,13280.0,391014369.0,1046986.0,29.85,2.25,1.8
2022-12-01,108.2,111.3,108.0,110.7,109.7,11872545.0,46813.0,1302447298.0,8675299.0,73.07,3.3,2.5
2022-11-30,106.1,107.9,105.9,107.7,107.27,4451220.0,27607.0,477490775.0,2823766.0,63.44,2.0,1.6
2022-11-29,104.8,107.6,104.8,106.1,106.54,4589186.0,19724.0,488918338.0,2419382.0,52.72,2.8,1.3
2022-11-28,105.9,106.4,104.55,104.9,105.03,2663200.0,20714.0,279703825.0,1235382.0,46.39,1.85,-1.0
2022-11-25,105.55,106.5,105.1,106.2,105.95,1266476.0,7021.0,134188780.0,433266.0,34.21,1.4,0.65
2022-11-24,105.65,105.95,104.6,105.45,105.28,2049473.0,15853.0,215764155.0,926596.0,45.21,1.35,-0.2
2022-11-23,105.9,105.95,104.9,105.6,105.47,1326989.0,5339.0,139951739.0,390556.0,29.43,1.05,-0.3
2022-11-22,104.25,105.4,103.55,105.15,104.43,1417435.0,6854.0,148016306.0,380500.0,26.84,1.85,0.9
2022-11-21,107.9,107.9,103.9,104.2,105.47,4222910.0,25213.0,445376204.0,1383076.0,32.75,4.0,-3.7
2022-11-18,105.85,106.3,104.7,105.5,105.45,1973041.0,14885.0,208053369.0,651363.0,33.01,1.6,-0.35
2022-11-17,106.0,106.75,104.5,105.85,105.38,2476199.0,17620.0,260946606.0,817473.0,33.01,2.25,-0.15
2022-11-16,108.3,108.8,105.25,106.55,106.94,1540453.0,9372.0,164736606.0,472640.0,30.68,3.55,-1.75
2022-11-15,108.8,109.35,107.25,108.5,107.92,2855557.0,14157.0,308165816.0,965480.0,33.81,2.1,-0.3
2022-11-14,108.15,110.0,108.15,108.65,109.09,2600489.0,13743.0,283699604.0,785981.0,30.22,1.85,0.5
2022-11-11,106.2,108.2,106.15,107.5,107.32,3403076.0,13124.0,365228895.0,1425066.0,41.88,2.05,1.3
2022-11-10,105.05,106.0,104.45,104.65,105.24,3073273.0,17236.0,323439196.0,1220422.0,39.71,1.55,-0.4
2022-11-09,107.0,107.5,105.55,106.15,106.31,2405877.0,10485.0,255775217.0,668110.0,27.77,1.95,-0.85
2022-11-07,105.1,107.4,104.55,106.65,106.48,8160890.0,44272.0,868946950.0,4911661.0,60.19,2.85,1.55
2022-11-04,102.25,105.0,102.25,104.75,103.76,8220902.0,44681.0,853041178.0,5303831.0,64.52,2.75,2.5
2022-11-03,100.6,102.6,100.05,102.2,101.68,2317113.0,8289.0,235606198.0,625258.0,26.98,2.55,1.6
2022-11-02,100.9,102.9,100.8,101.2,101.93,4184733.0,20953.0,426530244.0,1940909.0,46.38,2.1,0.3
2022-11-01,98.15,101.45,98.15,101.2,100.18,6014204.0,34675.0,602484238.0,2428766.0,40.38,3.3,3.05
2022-10-31,101.7,102.15,100.3,101.55,101.22,1897296.0,11154.0,192047689.0,586549.0,30.91,1.85,-0.15
2022-10-28,104.05,104.5,100.8,101.55,101.92,3814661.0,25476.0,388788327.0,1586746.0,41.6,3.7,-2.5
2022-10-27,102.05,104.65,102.05,104.2,103.83,3699848.0,15410.0,384167683.0,1305255.0,35.28,2.6,2.15
2022-10-25,101.0,102.5,100.65,101.15,101.5,3108326.0,17665.0,315508811.0,1266399.0,40.74,1.85,0.15
2022-10-24,102.0,102.0,101.0,101.2,101.33,496638.0,8414.0,50325534.0,295374.0,59.47,1.0,-0.8
2022-10-21,100.65,101.45,99.35,100.15,100.29,2488930.0,18115.0,249610420.0,801835.0,32.22,2.1,-0.5
2022-10-20,99.5,101.1,98.8,100.9,100.05,3573785.0,21505.0,357554022.0,1036688.0,29.01,2.3,1.4
2022-10-19,100.6,101.2,99.7,100.05,100.58,2331137.0,8139.0,234473151.0,558571.0,23.96,1.5,-0.55
2022-10-18,100.1,101.0,99.8,100.6,100.52,2827302.0,17198.0,284204710.0,1189618.0,42.08,1.2,0.5
2022-10-17,99.85,100.4,98.1,99.55,99.96,12754082.0,25318.0,1274839847.0,10507943.0,82.39,2.3,-0.3
2022-10-14,101.6,102.7,99.85,100.1,101.34,3020846.0,20087.0,306147369.0,1297315.0,42.95,2.85,-1.5
2022-10-13,100.7,101.8,98.85,100.1,100.03,3107555.0,27009.0,310852813.0,1193277.0,38.4,2.95,-0.6
2022-10-12,100.5,101.15,99.0,100.55,100.18,2423376.0,13098.0,242762367.0,533956.0,22.03,2.15,0.05
2022-10-11,103.3,103.5,99.9,100.3,102.79,12749057.0,29045.0,1310521614.0,10694544.0,83.88,3.6,-3.0
2022-10-10,102.0,103.9,101.2,103.25,102.39,1748242.0,11390.0,179003172.0,492109.0,28.15,2.7,1.25
2022-10-07,103.35,103.45,101.85,103.2,102.54,1716013.0,11485.0,175968501.0,460997.0,26.86,1.6,-0.15
2022-10-06,102.0,103.8,101.75,103.45,103.15,4893642.0,28887.0,504761403.0,2039868.0,41.68,2.05,1.45
2022-10-04,99.6,101.5,99.6,101.15,100.72,1919491.0,11540.0,193322160.0,702958.0,36.62,1.9,1.55
2022-10-03,99.4,99.6,98.0,98.3,98.52,3479333.0,32462.0,342774900.0,1010750.0,29.05,1.6,-1.1
2022-09-30,96.7,100.4,95.7,99.3,98.12,5196062.0,37691.0,509859403.0,1890910.0,36.39,4.7,2.6
2022-09-29,96.9,98.3,96.4,96.85,97.25,4897702.0,42225.0,476280828.0,1640494.0,33.5,1.9,-0.05
2022-09-28,96.65,97.85,95.0,95.25,96.54,3254693.0,24629.0,314221407.0,1176725.0,36.15,2.85,-1.4
2022-09-27,101.1,101.3,96.55,97.6,98.07,8194478.0,80009.0,803666066.0,3031964.0,37.0,4.75,-3.5
2022-09-26,104.5,104.5,98.5,99.85,100.16,5309642.0,39179.0,531824388.0,2322495.0,43.74,6.0,-4.65
2022-09-23,106.2,107.9,103.75,104.25,105.23,7815307.0,54622.0,822371039.0,2762694.0,35.35,4.15,-1.95
2022-09-22,104.5,105.3,103.5,103.65,104.26,4167273.0,33322.0,434474119.0,1279838.0,30.71,1.8,-0.85
2022-09-21,105.85,107.2,104.3,104.5,105.84,4045221.0,28573.0,428128523.0,1373213.0,33.95,2.9,-1.35
2022-09-20,104.25,106.35,104.0,105.85,105.42,4415941.0,30790.0,465518641.0,2188956.0,49.57,2.35,1.6
2022-09-19,106.05,106.25,103.0,103.15,105.16,10985828.0,51456.0,1155253607.0,8819707.0,80.28,3.25,-2.9
2022-09-16,106.35,107.55,105.0,105.8,106.12,4808283.0,43575.0,510248143.0,1812921.0,37.7,2.55,-0.55
2022-09-15,109.0,109.0,106.5,107.0,107.49,2776687.0,14684.0,298472151.0,907228.0,32.67,2.5,-2.0
2022-09-14,106.1,110.4,105.8,109.1,108.47,8346563.0,46854.0,905386199.0,3936676.0,47.17,4.6,3.0
2022-09-13,107.7,108.65,107.55,107.75,107.96,2080612.0,11360.0,224626049.0,790542.0,38.0,1.1,0.05
2022-09-12,106.7,107.9,106.45,107.7,107.24,5496065.0,26359.0,589408857.0,3820474.0,69.51,1.45,1.0
2022-09-09,106.8,107.35,105.55,105.75,106.5,4350354.0,29601.0,463309743.0,,,1.8,-1.05
2022-09-08,108.15,108.5,105.3,105.85,106.4,4463250.0,39382.0,474898189.0,2338051.0,52.38,3.2,-2.3
2022-09-07,107.3,108.8,107.1,107.6,107.74,2104970.0,10857.0,226793069.0,694465.0,32.99,1.7,0.3
2022-09-06,107.15,108.75,106.05,108.55,107.56,6000201.0,32995.0,645383180.0,3048351.0,50.8,2.7,1.4
2022-09-05,105.9,107.25,105.9,106.9,106.77,4969281.0,28075.0,530582043.0,2225735.0,44.79,1.35,1.0
2022-09-02,106.9,107.05,105.0,105.55,105.79,4160902.0,34299.0,440180755.0,1430294.0,34.37,2.05,-1.35
2022-09-01,107.2,107.8,105.85,106.45,106.66,4250740.0,35065.0,453401911.0,1549449.0,36.45,1.95,-0.75
2022-08-30,106.3,108.45,106.0,108.3,107.34,5754654.0,35326.0,617723768.0,3412813.0,59.31,2.45,2.0
2022-08-29,101.2,105.65,101.2,104.85,104.67,5943071.0,53239.0,622078270.0,2840018.0,47.79,4.45,3.65
2022-08-26,107.3,109.2,107.1,107.4,108.17,2408297.0,13921.0,260498807.0,672372.0,27.92,2.1,0.1
2022-08-25,106.85,107.85,105.8,106.2,107.07,3978457.0,33480.0,425962720.0,1551845.0,39.01,2.05,-0.65
2022-08-24,107.85,108.2,105.8,106.55,106.85,3396443.0,24497.0,362907486.0,1673778.0,49.28,2.4,-1.3
2022-08-23,104.2,108.25,103.45,107.55,106.59,7046063.0,45363.0,751074957.0,2148425.0,30.49,4.8,3.35
2022-08-22,109.7,109.7,104.7,105.05,107.07,4276721.0,36681.0,457901517.0,2153986.0,50.37,5.0,-4.65
2022-08-19,112.8,112.8,109.5,110.0,111.12,5041359.0,44411.0,560180185.0,2301804.0,45.66,3.3,-2.8
