Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
02-12-2022,414.7,414.7,409.1,412.35,410.63,345369,9472,141818543,231485,67.03,5.6,-2.35
01-12-2022,412,416.35,411.65,413.6,413.83,869426,21372,359796559,516099,59.36,4.7,1.6
30-11-2022,407,408,402.6,406.95,404.85,622575,15331,252047006,420308,67.51,5.4,-0.05
29-11-2022,403.55,408.85,402.8,405.2,405.36,2396202,14513,971323443,2084830,87.01,6.05,1.65
28-11-2022,402.2,409.45,402,405.7,406.86,497637,9070,202468687,260583,52.36,7.45,3.5
25-11-2022,397.05,404.2,396,402.65,400.04,715995,10604,286429758,535987,74.86,8.2,5.6
24-11-2022,389.2,399.6,389.15,398.05,393.57,164376,4666,64692956,71290,43.37,10.45,8.85
23-11-2022,390.25,392.85,388,388.6,389.24,1201593,10037,467712238,1037675,86.36,4.85,-1.65
22-11-2022,388.5,389.15,384.75,388.85,387.04,5051053,4734,1954971245,4986576,98.72,4.4,0.35
21-11-2022,393.05,394,387.6,388.5,390.23,451453,16176,176170332,304255,67.39,6.4,-4.55
18-11-2022,397,398.8,392.8,394,395.13,120561,3588,47637021,46485,38.56,6,-3
17-11-2022,398.15,398.15,395,396.7,397.16,684422,12456,271823084,606415,88.6,3.15,-1.45
16-11-2022,398,401.6,396.25,398.15,399.84,818602,18173,327313554,479461,58.57,5.35,0.15
15-11-2022,396.6,399.45,394.1,397.15,396.1,283865,3473,112438508,58770,20.7,5.35,0.55
14-11-2022,402,402.3,395.6,396.55,398.67,472218,15938,188261016,214441,45.41,6.7,-5.45
11-11-2022,395.85,405.8,395.85,399.75,400.89,500524,8291,200655936,155688,31.1,9.95,3.9
10-11-2022,387.55,391.2,387,388.85,389,81932,3273,31871707,35711,43.59,4.2,1.3
09-11-2022,393,394,389.4,390.95,391.7,139005,4709,54448945,60629,43.62,4.6,-2.05
07-11-2022,392,394.75,387.65,391.45,390.63,435712,15715,170202775,203705,46.75,7.1,-0.55
04-11-2022,386.45,392.35,385.7,390.65,388.13,131635,4304,51092074,53584,40.71,6.65,4.2
03-11-2022,390.5,393.8,385.6,388.65,389.59,199219,4791,77613759,67641,33.95,8.2,-1.85
02-11-2022,392.9,394.85,390.6,393.9,393.15,365428,12612,143667300,209916,57.44,4.25,1
01-11-2022,388,393.2,386.65,392.45,390.1,156961,4961,61230048,79551,50.68,6.55,4.45
31-10-2022,385.6,388.2,384.6,386.4,386.43,432689,14317,167202252,279544,64.61,3.6,0.8
28-10-2022,382.6,386,382.2,383.4,383.94,105745,3255,40599850,46650,44.12,3.8,0.8
27-10-2022,385,386.95,381.15,382.6,383.97,163873,4840,62922147,82345,50.25,5.8,-2.4
25-10-2022,386,386.3,383.7,384.5,384.76,1433343,12479,551489998,1292788,90.19,2.6,-1.5
24-10-2022,385,386.55,384,384.75,385.03,238840,16801,91961350,189867,79.5,2.55,-0.25
21-10-2022,382,383.8,379.55,382.6,382.12,227125,4302,86788872,101794,44.82,4.25,0.6
20-10-2022,376.35,382.5,376,381.45,380.35,213603,4305,81243638,68050,31.86,6.5,5.1
19-10-2022,381.8,381.8,377,378,379.45,401520,8015,152355223,274260,68.31,4.8,-3.8
18-10-2022,381.45,384.4,378.4,379.3,380.79,335997,6545,127943316,125599,37.38,6,-2.15
17-10-2022,377.3,379.15,372.4,375.05,375.56,282308,7748,106023709,110394,39.1,6.75,-2.25
14-10-2022,385.3,387,376.3,377.3,381.36,656828,12779,250487491,366696,55.83,10.7,-8
13-10-2022,390,392.25,378.1,379.1,382.74,1824883,32796,698448775,962698,52.75,14.15,-10.9
12-10-2022,404,409.5,401.7,407.75,406.39,282900,5654,114968571,64273,22.72,7.8,3.75
11-10-2022,415.1,417.9,402.5,404.3,411.34,2084417,8698,857408032,1802090,86.46,15.4,-10.8
10-10-2022,399.95,413.4,399.65,411.25,405.81,223882,8328,90853651,84971,37.95,13.75,11.3
07-10-2022,409.8,411.8,406.15,408.1,408.47,364721,11703,148976677,176040,48.27,5.65,-1.7
06-10-2022,408.6,412.95,407.35,410.2,410.1,541574,16768,222098847,279820,51.67,5.6,1.6
04-10-2022,398.75,406.35,398.75,405.6,403.56,173737,4858,70113452,76572,44.07,7.6,6.85
03-10-2022,394,398,390.45,394.5,394.83,434723,15187,171640859,150407,34.6,7.55,0.5
30-09-2022,391.1,396.65,387.4,394.3,391.61,440822,19904,172632376,154799,35.12,9.25,3.2
29-09-2022,400.1,401.95,391.7,393.45,395.64,155262,5541,61427160,67625,43.56,10.25,-6.65
28-09-2022,397.45,400.5,395.65,398,398.71,140516,5023,56025171,46029,32.76,4.85,0.55
27-09-2022,397.25,401.35,392.25,398.15,397.46,229489,6673,91212340,81043,35.31,9.1,0.9
26-09-2022,392,399.15,384.6,394.75,391,1318118,40405,515390011,442795,33.59,14.55,2.75
23-09-2022,398,399.45,393.6,394.4,396.26,601147,31327,238211095,310747,51.69,5.85,-3.6
22-09-2022,397.55,400.25,395,397.95,397.85,643124,29448,255868570,319478,49.68,5.25,0.4
21-09-2022,404.95,406,399.5,400.8,401.49,802809,27391,322316374,573752,71.47,6.5,-4.15
20-09-2022,405.35,409.4,404.5,404.95,407.78,309554,5777,126230810,210878,68.12,4.9,-0.4
19-09-2022,404.6,406.2,397.1,401.95,402.02,1770024,27310,711590823,1432306,80.92,9.1,-2.65
16-09-2022,411.1,412.3,400.15,401.85,406.23,1050308,47590,426663894,678525,64.6,12.15,-9.25
15-09-2022,418.8,420.8,413.45,415.1,415.67,182003,5847,75652991,98263,53.99,7.35,-3.7
14-09-2022,407,422.55,407,416.25,415.76,838418,24166,348583824,419123,49.99,15.55,9.25
13-09-2022,425,425.95,421.6,422.65,423.9,330238,6120,139986277,241992,73.28,4.35,-2.35
12-09-2022,418.5,424.25,418.5,421.95,422.57,780470,21240,329799532,394149,50.5,5.75,3.45
09-09-2022,416.8,419.35,411.35,417.2,415.07,244374,5578,101433443,,,8,0.4
08-09-2022,410,414.25,409.5,412.75,412.53,348489,6007,143763359,198523,56.97,4.75,2.75
07-09-2022,402.5,408.7,401,407.35,404.79,536530,19495,217184374,243189,45.33,7.7,4.85
